DV,NPV,Offset,Estado,Marco,DF
0x7699B,0x76,0x99B,FALLO,14,0xE99B
0x45B38,0x45,0xB38,FALLO,1,0x1B38
0x2F8FA,0x2F,0x8FA,FALLO,3,0x38FA
0x1ACC2,0x1A,0xCC2,HIT,2,0x2CC2
0x2D575,0x2D,0x575,FALLO,4,0x4575
0x724E1,0x72,0x4E1,FALLO,6,0x64E1
0x660DD,0x66,0xDD,FALLO,7,0x70DD
0x10152,0x10,0x152,FALLO,11,0xB152
0x3C2F0,0x3C,0x2F0,FALLO,15,0xF2F0
0x57481,0x57,0x481,FALLO,0,0x481
0x4D6BD,0x4D,0x6BD,FALLO,5,0x56BD
0xEB55,0xE,0xB55,FALLO,8,0x8B55
0x5A37E,0x5A,0x37E,FALLO,9,0x937E
0x2DE25,0x2D,0xE25,HIT,4,0x4E25
0x662CE,0x66,0x2CE,HIT,7,0x72CE
0x4DE55,0x4D,0xE55,HIT,5,0x5E55
0x295,0x0,0x295,FALLO,10,0xA295
0x50ADB,0x50,0xADB,FALLO,12,0xCADB
0x2E65F,0x2E,0x65F,FALLO,13,0xD65F
0x31250,0x31,0x250,FALLO,14,0xE250
0x3744C,0x37,0x44C,FALLO,1,0x144C
0x7849E,0x78,0x49E,FALLO,2,0x249E
0x16A78,0x16,0xA78,FALLO,3,0x3A78
0x13D23,0x13,0xD23,FALLO,6,0x6D23
0x13C3F,0x13,0xC3F,HIT,6,0x6C3F
0x2068B,0x20,0x68B,FALLO,11,0xB68B
0x395B8,0x39,0x5B8,FALLO,15,0xF5B8
0x5D207,0x5D,0x207,FALLO,0,0x207
0x28A74,0x28,0xA74,FALLO,4,0x4A74
0x103E3,0x10,0x3E3,FALLO,5,0x53E3
0x379D6,0x37,0x9D6,HIT,1,0x19D6
0x1417A,0x14,0x17A,FALLO,7,0x717A
0x1523A,0x15,0x23A,FALLO,8,0x823A
0x40B56,0x40,0xB56,FALLO,9,0x9B56
0x56573,0x56,0x573,FALLO,10,0xA573
0x780A1,0x78,0xA1,HIT,2,0x20A1
0x3602D,0x36,0x2D,FALLO,12,0xC02D
0x26931,0x26,0x931,FALLO,13,0xD931
0x4D50A,0x4D,0x50A,FALLO,14,0xE50A
0x7A57,0x7,0xA57,FALLO,3,0x3A57
0x31139,0x31,0x139,FALLO,6,0x6139
0x7E02D,0x7E,0x2D,FALLO,11,0xB02D
0xA1EA,0xA,0x1EA,FALLO,15,0xF1EA
0x5216C,0x52,0x16C,FALLO,0,0x16C
0x32FB3,0x32,0xFB3,FALLO,1,0x1FB3
0x4BBB5,0x4B,0xBB5,FALLO,2,0x2BB5
0x40688,0x40,0x688,HIT,9,0x9688
0x6F4C,0x6,0xF4C,FALLO,4,0x4F4C
0x14124,0x14,0x124,HIT,7,0x7124
0x48ADC,0x48,0xADC,FALLO,5,0x5ADC
0x4B60C,0x4B,0x60C,HIT,2,0x260C
0x405A3,0x40,0x5A3,HIT,9,0x95A3
0x5007F,0x50,0x7F,FALLO,8,0x807F
0x5189E,0x51,0x89E,FALLO,10,0xA89E
0x68BC3,0x68,0xBC3,FALLO,12,0xCBC3
0x72E31,0x72,0xE31,FALLO,13,0xDE31
0x35279,0x35,0x279,FALLO,14,0xE279
0x321DD,0x32,0x1DD,HIT,1,0x11DD
0x6DA2C,0x6D,0xA2C,FALLO,3,0x3A2C
0xE23E,0xE,0x23E,FALLO,6,0x623E
0x73EF3,0x73,0xEF3,FALLO,7,0x7EF3
0x70FB6,0x70,0xFB6,FALLO,9,0x9FB6
0x424A2,0x42,0x4A2,FALLO,11,0xB4A2
0x218D0,0x21,0x8D0,FALLO,15,0xF8D0
0x5FD0A,0x5F,0xD0A,FALLO,0,0xD0A
0x33A27,0x33,0xA27,FALLO,1,0x1A27
0x68AC5,0x68,0xAC5,HIT,12,0xCAC5
0x59CF2,0x59,0xCF2,FALLO,2,0x2CF2
0x12802,0x12,0x802,FALLO,4,0x4802
0x655A3,0x65,0x5A3,FALLO,5,0x55A3
0x747D9,0x74,0x7D9,FALLO,8,0x87D9
0x77C85,0x77,0xC85,FALLO,10,0xAC85
0x7FF0F,0x7F,0xF0F,FALLO,13,0xDF0F
0x1B184,0x1B,0x184,FALLO,14,0xE184
0x561D,0x5,0x61D,FALLO,3,0x361D
0x12E50,0x12,0xE50,HIT,4,0x4E50
0x523FF,0x52,0x3FF,FALLO,6,0x63FF
0x129C9,0x12,0x9C9,HIT,4,0x49C9
0x4BA31,0x4B,0xA31,FALLO,7,0x7A31
0x52489,0x52,0x489,HIT,6,0x6489
0x62386,0x62,0x386,FALLO,9,0x9386
0x2241A,0x22,0x41A,FALLO,11,0xB41A
0x360CC,0x36,0xCC,FALLO,12,0xC0CC
0x52D56,0x52,0xD56,HIT,6,0x6D56
0x5AC41,0x5A,0xC41,FALLO,15,0xFC41
0x2DB16,0x2D,0xB16,FALLO,0,0xB16
0x4E24C,0x4E,0x24C,FALLO,1,0x124C
0x19F2C,0x19,0xF2C,FALLO,2,0x2F2C
0x156EE,0x15,0x6EE,FALLO,5,0x56EE
0x39AFD,0x39,0xAFD,FALLO,8,0x8AFD
0x5955A,0x59,0x55A,FALLO,10,0xA55A
0x5571C,0x55,0x71C,FALLO,13,0xD71C
0x2A491,0x2A,0x491,FALLO,14,0xE491
0x16506,0x16,0x506,FALLO,3,0x3506
0x81F8,0x8,0x1F8,FALLO,4,0x41F8
0x5E814,0x5E,0x814,FALLO,6,0x6814
0x2AFB5,0x2A,0xFB5,HIT,14,0xEFB5
0x53337,0x53,0x337,FALLO,7,0x7337
0x2DC86,0x2D,0xC86,HIT,0,0xC86
0x18543,0x18,0x543,FALLO,9,0x9543
0x42740,0x42,0x740,FALLO,11,0xB740
0x5E55B,0x5E,0x55B,HIT,6,0x655B
0xBFFD,0xB,0xFFD,FALLO,12,0xCFFD
0x685DD,0x68,0x5DD,FALLO,15,0xF5DD
0x48064,0x48,0x64,FALLO,1,0x1064
0x34589,0x34,0x589,FALLO,2,0x2589
0x409B2,0x40,0x9B2,FALLO,5,0x59B2
0x74638,0x74,0x638,FALLO,8,0x8638
0xAE7D,0xA,0xE7D,FALLO,10,0xAE7D
